iter	Passed	Remaining
216	435	1573
217	436	1565
218	437	1558
219	438	1555
220	439	1549
221	440	1542
222	440	1536
223	441	1529
224	442	1522
225	442	1515
226	443	1509
227	443	1503
228	444	1497
229	445	1492
230	446	1486
231	447	1481
232	448	1475
233	448	1469
234	449	1463
235	450	1458
236	451	1452
237	451	1446
238	452	1440
239	453	1434
240	453	1428
241	454	1422
242	454	1416
243	455	1411
244	456	1405
245	456	1400
246	457	1395
247	458	1389
248	458	1384
249	459	1379
250	460	1373
251	461	1368
252	461	1363
253	462	1359
254	463	1354
255	464	1349
256	464	1343
257	465	1338
258	466	1333
259	466	1327
260	467	1323
261	468	1319
262	469	1314
263	469	1309
264	470	1305
265	471	1300
266	471	1295
267	472	1290
268	473	1286
269	475	1284
270	475	1279
271	476	1275
272	477	1271
273	478	1266
274	479	1263
275	480	1260
276	481	1255
277	481	1251
278	482	1247
279	483	1242
280	483	1237
281	484	1233
282	485	1228
283	485	1224
284	486	1220
285	487	1216
286	487	1212
287	488	1208
288	489	1203
289	490	1200
290	490	1195
291	491	1191
292	494	1194
293	495	1190
294	496	1186
295	497	1183
296	498	1179
297	499	1176
298	500	1173
299	501	1169
300	502	1166
301	502	1162
302	503	1158
303	504	1155
304	505	1151
305	506	1147
306	506	1144
307	507	1140
308	508	1136
309	509	1133
310	510	1130
311	511	1127
312	511	1123
313	512	1120
314	513	1116
315	513	1112
316	514	1108
317	515	1105
318	516	1101
319	516	1098
320	517	1095
321	518	1091
322	519	1088
323	520	1086
324	521	1083
325	522	1079
326	525	1080
327	525	1077
328	526	1074
329	527	1070
330	528	1067
331	529	1064
332	530	1062
333	531	1059
334	532	1056
335	533	1054
336	534	1051
337	536	1051
338	538	1049
339	538	1045
340	539	1042
341	540	1039
342	541	1036
343	542	1033
344	543	1030
345	543	1027
346	544	1024
347	545	1021
348	545	1018
349	546	1014
350	547	1012
351	548	1009
352	549	1006
353	550	1003
354	550	1000
355	551	997
356	552	994
357	556	997
358	557	995
359	558	992
360	558	989
361	559	986
362	561	984
363	562	982
364	563	979
365	564	977
366	564	974
367	565	971
368	567	970
369	568	967
370	569	964
371	570	962
372	571	960
373	573	960
374	574	957
375	575	954
376	575	951
377	576	948
378	577	945
379	577	942
380	578	939
381	579	937
382	580	934
383	580	931
384	581	929
385	582	926
386	582	923
387	583	920
388	584	917
389	588	919
390	588	917
391	589	914
392	590	911
393	591	909
394	592	907
395	593	905
396	594	902
397	594	899
398	595	897
399	596	894
400	597	892
401	598	890
402	599	888
403	600	885
404	601	882
405	601	880
406	602	878
407	603	876
408	605	874
409	605	871
410	606	869
411	607	866
412	607	864
413	608	861
414	609	859
415	610	856
416	611	854
417	611	851
418	612	849
419	613	846
420	614	845
421	615	843
422	616	840
423	617	838
424	617	835
425	618	833
426	619	831
427	620	829
428	620	826
429	621	824
430	622	821
431	622	819
432	623	816
433	624	813
434	624	811
435	625	809
436	626	807
437	627	805
438	628	802
439	628	800
440	629	798
441	630	795
442	631	793
443	632	791
444	633	789
445	633	787
446	634	784
447	634	782
448	635	779
449	635	777
450	636	774
451	637	772
452	640	772
453	640	770
454	641	768
455	642	766
456	642	763
457	643	761
458	643	758
459	644	757
460	645	754
461	646	752
462	647	750
463	647	748
464	648	746
465	649	743
466	649	741
467	651	740
468	651	737
469	652	735
470	652	733
471	653	731
